,,,human_Branch AB_150_cluster,,,human_Branch AB_150_cluster_NZ,,,mice_Branch AB_150_cluster,,,mice_Branch AB_150_cluster_NZ,,,human_Branch AB_90_cluster,,,human_Branch AB_90_cluster_NZ,,,mice_Branch AB_90_cluster,,,mice_Branch AB_90_cluster_NZ,
gene1,gene2,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr
GAL,GFRA1,,0.132505004080532,0.123387658620397,,0.00650270931623644,0.271783594040143,,3.45606183783979E-08,0.431764689428892,,5.38295751812754E-06,0.398761039264971,,0.123323551870078,0.163623123910774,,0.0277772147140425,0.286564158924131,,7.3573037047976E-06,0.452988285063471,,8.93971839007496E-05,0.431461476572014
GAL,NOS1,,3.59149789766398E-06,0.36805375920837,,0.00876952755732692,0.293042547562039,,8.75935108862201E-52,0.887965596209905,,1.54412868682257E-36,0.93913456234806,,0.00345156383538785,0.305133468364747,,0.0175351208400838,0.341469266818951,,6.8962858481051E-38,0.921409937376322,,1.77764372707761E-28,0.947805016915054
GAL,RET,,1.14471476647361E-20,0.66717741270723,,2.93952599191075E-14,0.692325526903797,,2.43822542479858E-28,0.74985632333503,,4.73531859875347E-31,0.792900192878178,,2.79776501353358E-10,0.604544023817444,,9.52158445568879E-09,0.692031579475575,,9.96674911036547E-19,0.768165614329449,,2.72269517804591E-20,0.80230089354846
GAL,VIP,,7.43599263871361E-26,0.726159126090484,,4.31530862079315E-12,0.620891613456988,,5.62668608186202E-40,0.833563027570192,,3.4325378108943E-41,0.865687440931614,,7.89094122295813E-20,0.782864698926513,,1.16727272841407E-09,0.688898660122888,,9.24475401046109E-29,0.869971232790968,,3.96844913368485E-27,0.871716035025029
NOS1,GFRA1,,0.00153229541814263,0.256509825459974,,8.74416693452433E-05,0.426863281326632,,4.56414169066932E-07,0.398008837366823,,2.05586806841109E-05,0.482265884928864,,1.98399468123903E-05,0.433377595128474,,5.05839069504322E-08,0.692169441109104,,8.26173746938844E-05,0.402865222658706,,0.000326465235903523,0.479113324619911
RET,GFRA1,,0.310267163646402,0.0834000193308046,,0.00432397422718022,0.310153354602918,,0.0203414175782753,0.189293988006041,,0.00753368881216182,0.240844399121417,,0.000752798340448635,0.348835692739993,,5.86047949198324E-05,0.532071808165462,,0.023922304312375,0.237949514082061,,0.00186169646225822,0.351281797891486
RET,NOS1,,0.00668433613792165,0.220559277753254,,0.0031329486919761,0.353195705113683,,9.91491260695844E-19,0.641055170879581,,3.03171162530439E-15,0.755690482966523,,8.5801285857428E-08,0.528538886999381,,2.72038424259614E-06,0.647287837566028,,1.86183420772101E-12,0.657845566571271,,1.24862601803607E-11,0.758721389838262
TBX3,CHAT,,0.889681865827841,0.0114205295056937,,0.325682778078398,-0.347160511645567,,0.460921270965527,0.0606547439248881,,0.00413966356960344,0.336286441737998,,0.443870187669212,-0.0817163034287266,,0.149292827232635,0.559518975714818,,0.494989078826266,0.0728534807181352,,0.0261155546199839,0.314514511466168
TBX3,ETV1,,9.04943120027226E-11,0.497856966726171,,2.43746310480712E-11,0.587030339483481,,7.19196976439386E-39,0.827144920562033,,5.43707540441258E-36,0.849699102365492,,7.11261617867906E-05,0.406210481712804,,3.80716983539316E-07,0.585179566092537,,9.23263750682907E-27,0.854480363718622,,2.97440590305953E-24,0.857798460834701
TBX3,ETV3,,0.598482759142938,-0.0433377047708227,,0.871885690599588,-0.0356005766133753,,0.285006544060059,0.087860979053801,,0.039146588019417,0.196984198553435,,0.799579182705236,-0.0271369462662818,,0.95971965279761,0.0124302378401792,,0.709689091310855,0.0397816378932458,,0.201330603955189,0.153467281632086
TBX3,GAL,,5.86992259647818E-12,0.524096789666398,,2.71632541739406E-12,0.602214800216027,,6.64144982788104E-18,0.62909877206544,,5.10480213243048E-23,0.718283475604765,,2.45971249114149E-07,0.512233820610069,,3.42711993384856E-06,0.547472845686717,,1.38872549209394E-14,0.701296261232102,,2.74736322842257E-15,0.72850116549607
TBX3,GFRA1,,0.0562560327589328,0.156221476742521,,3.91449602830072E-06,0.433206500483862,,0.00117472401467009,0.262483184449549,,0.000105202914709607,0.343890930812368,,0.62147823623175,0.0527475670317541,,0.0067539401277904,0.335337205191213,,0.000629991187264287,0.353557243584533,,9.84357984941332E-05,0.431770091747548
TBX3,NOS1,,0.00552616288565902,0.225509652401059,,0.0264281858767766,0.252984089777608,,1.57544746444723E-16,0.607972856358129,,2.69060961120407E-13,0.71531400016793,,0.110719436574079,0.169274866826884,,0.0569932339813803,0.276630841369624,,1.65671217014805E-11,0.635851544257007,,7.07772837646254E-10,0.712936304674167
TBX3,RET,,0.000105574472887829,0.311290536485391,,2.08624074645895E-06,0.48111888957719,,4.69516634107979E-45,0.859841730544704,,2.11184100141188E-48,0.885306338907949,,0.00278044529165666,0.311742532910024,,0.000123666591466652,0.503010498425068,,4.97833779906627E-32,0.891610513933863,,7.88969314770856E-32,0.898801755569612
TBX3,VIP,,1.99209693288464E-10,0.489853731290617,,4.51274023938304E-10,0.573399978176252,,3.84435614108637E-19,0.646820788299194,,2.34741010027263E-21,0.698490881994645,,7.63506346965604E-07,0.49369395276455,,1.93185843311606E-07,0.617156831215977,,2.14271390920356E-13,0.67794386127948,,7.52729178016764E-14,0.704548063251578
VIP,GFRA1,,0.000329604091019599,0.289316023556276,,0.000292557656137361,0.365442280754245,,0.000659369089388433,0.275012225465044,,0.00875688653771643,0.239326939182312,,0.0370948857553514,0.220122497345767,,0.0177053173312857,0.31044328879941,,0.00722304148189344,0.281357838208079,,0.0193657577463581,0.269526178334459
VIP,NOS1,,3.6975270332186E-05,0.330123195613981,,0.0197312634650591,0.274268990862586,,1.65497181166414E-43,0.852351816576004,,1.55125093081713E-24,0.870930481366295,,0.0167466434940086,0.251608575952015,,0.115794539360732,0.237754932402176,,1.69036694243979E-28,0.868046162422707,,1.10680683917673E-17,0.863478344647997
VIP,RET,,2.80999593440723E-09,0.46139466829224,,8.14855027090032E-09,0.584500778139529,,3.08277580704395E-22,0.686569818402137,,7.19730550054943E-24,0.729614979141462,,4.51747245489084E-06,0.462203808503904,,3.42330173667998E-05,0.555519709446109,,7.43313225456617E-16,0.724015598227677,,2.05903909981135E-16,0.750505025708508
ZFHX4,CASZ1,,0.135887444196905,-0.122328228334159,,0.74208682244239,-0.0576748140510771,,0.000167868108372667,-0.302548305127558,,0.0179903153022855,-0.236193528832158,,0.164569959785703,-0.147764527246493,,0.801642213999629,-0.049713801342797,,0.00298235524824462,-0.309615944297056,,0.00331748191096484,-0.339309298599373
ZFHX4,CHAT,,0.524199162665672,-0.0524041531210352,,0.294287422704215,0.516369548528453,,0.129944264236343,0.124203592295703,,0.0171039670286415,0.290464190930559,,0.685187849924053,-0.0433177373972494,,0.267755520122095,0.446226503836564,,0.145245122527705,0.154768807771322,,0.00562900291416323,0.382317741174413
ZFHX4,ETV1,,0.584989704807702,-0.044943198273154,,0.923584264969636,0.0123312372087465,,1.03766222100242E-17,0.626216563575037,,1.29273129744878E-16,0.664471016229978,,0.217736144738817,-0.131195809347984,,0.413875380153036,0.127860517701319,,4.48407156550671E-12,0.649215347587961,,1.81843356491953E-10,0.645170583391474
ZFHX4,ETV3,,0.179995683818227,0.110061099759768,,0.00175745105084041,0.668417929855745,,0.414678580627463,0.0670867867960491,,0.000353237616815672,0.345353235927126,,0.619326209384568,0.0530728437813635,,0.00180790452148612,0.698670582327053,,0.297964092785526,0.11092246672352,,0.00501733528526498,0.329496201039036
ZFHX4,GAL,,0.137104185978848,-0.121952058841843,,0.638664458008203,-0.0608175022811419,,0.000115618146215743,0.309598828573081,,7.74284529990393E-06,0.385223906791229,,0.295763290476162,-0.111425833682951,,0.40313677336529,0.132429533427682,,0.0014931367779363,0.329964784836193,,0.000884407887008254,0.35820060646008
ZFHX4,GFRA1,,0.0771971570532489,0.144740112204131,,8.73797339970305E-06,0.507067575923474,,0.000401650200759268,0.285314641231278,,0.00121082149075165,0.295653961764174,,0.773053722266217,0.0308218370505812,,1.22457793013833E-06,0.635391052842986,,0.00383831829556775,0.301831697048491,,0.000663810667865698,0.38431582323929
ZFHX4,NOS1,,0.920792817596392,-0.00818719550561501,,0.0659114460260865,0.254501004200072,,0.000109006661623338,0.310696143255132,,0.000704266948344842,0.382629044239253,,0.470551356317942,-0.0770250349740503,,0.00672746629458924,0.437817225613838,,0.00166427585013524,0.326863500645698,,0.00582187728823914,0.363982646194295
ZFHX4,RET,,0.484377283129321,-0.0575298956512013,,0.245825104847804,0.156233692995511,,1.36816986971814E-14,0.575252505798242,,4.15848593290641E-16,0.636215244272603,,0.618713501618765,-0.0531655424679185,,0.213889405817627,0.203561081743764,,2.54577328110316E-11,0.631312510994288,,5.96233071533165E-12,0.663696670187349
ZFHX4,TBX3,,0.560109786714363,-0.0479492356967843,,0.350726889501349,0.115801215534133,,2.35450974956923E-19,0.649756529544515,,6.94874408795925E-23,0.727887081564822,,0.394256748188741,-0.0908849685398881,,0.0264844701517962,0.32712144470997,,4.40847236241125E-18,0.759013033675647,,3.45931153678829E-16,0.746824506656932
ZFHX4,VIP,,0.677857655065227,-0.0341924290465243,,0.427206713506354,0.104418351956728,,8.18561568089476E-11,0.498859834582992,,1.44532796397952E-10,0.528441163512962,,0.350417739042899,-0.0995759886562088,,0.618371280409389,0.0801529029572074,,3.97717415387687E-07,0.504501911857198,,4.40580681680396E-07,0.521086237312904
